"model","case","R","Var_a","method","n","mean_MSPE","MCSE","lower","upper","R_factor","Var_a_label"
"Random-intercept model (RI)",1,10,0.5,"ORACLE",20,9.00026056421463,0.0557454770052192,8.8909994292844,9.10952169914486,"10","Var(a) = 0.50"
"Random-intercept model (RI)",1,10,0.5,"CIRG",20,9.40817820635383,0.0841824201366977,9.24318066288591,9.57317574982176,"10","Var(a) = 0.50"
"Random-intercept model (RI)",1,10,0.5,"KM",20,9.40807442860809,0.0841870968957933,9.24306771869233,9.57308113852384,"10","Var(a) = 0.50"
"Random-intercept model (RI)",1,10,0.5,"BLM",20,9.41006910162839,0.0840998591903896,9.24523337761523,9.57490482564156,"10","Var(a) = 0.50"
"Random-intercept model (RI)",1,10,0.5,"CPF",20,9.40908809496688,0.0841365450254829,9.24418046671694,9.57399572321683,"10","Var(a) = 0.50"
"Random-intercept model (RI)",1,10,0.5,"OBS",20,9.40850906310522,0.0841836658020252,9.24350907813326,9.57350904807719,"10","Var(a) = 0.50"
"Random-intercept model (RI)",1,10,0.5,"LM",20,9.40807979315614,0.084186689911129,9.24307388093033,9.57308570538196,"10","Var(a) = 0.50"
"Random-intercept model (RI)",1,20,0.5,"ORACLE",20,9.00575107000998,0.0527998898574553,8.90226328588937,9.1092388541306,"20","Var(a) = 0.50"
"Random-intercept model (RI)",1,20,0.5,"CIRG",20,9.4347036752217,0.070765203915298,9.29600387554772,9.57340347489568,"20","Var(a) = 0.50"
"Random-intercept model (RI)",1,20,0.5,"KM",20,9.43432002664395,0.0707919391342043,9.29556782594091,9.57307222734699,"20","Var(a) = 0.50"
"Random-intercept model (RI)",1,20,0.5,"BLM",20,9.45193042076659,0.0717684620345304,9.31126423517891,9.59259660635427,"20","Var(a) = 0.50"
"Random-intercept model (RI)",1,20,0.5,"CPF",20,9.44432392371664,0.0714166703450783,9.30434724984029,9.584300597593,"20","Var(a) = 0.50"
"Random-intercept model (RI)",1,20,0.5,"OBS",20,9.43718010691464,0.0709114685733421,9.29819362851089,9.5761665853184,"20","Var(a) = 0.50"
"Random-intercept model (RI)",1,20,0.5,"LM",20,9.4343457132751,0.0707941756305227,9.29558912903928,9.57310229751093,"20","Var(a) = 0.50"
"Random-intercept model (RI)",1,50,0.5,"ORACLE",20,9.0504737396988,0.0512145957411708,8.95009313204611,9.1508543473515,"50","Var(a) = 0.50"
"Random-intercept model (RI)",1,50,0.5,"CIRG",20,9.44182763778792,0.0495622735486561,9.34468558163256,9.53896969394329,"50","Var(a) = 0.50"
"Random-intercept model (RI)",1,50,0.5,"KM",20,9.44179874016596,0.0495451237392622,9.34469029763701,9.53890718269492,"50","Var(a) = 0.50"
"Random-intercept model (RI)",1,50,0.5,"BLM",20,9.4827200413597,0.0491159513958093,9.38645277662392,9.57898730609549,"50","Var(a) = 0.50"
"Random-intercept model (RI)",1,50,0.5,"CPF",20,9.45652406282735,0.0497103799113875,9.35909171820103,9.55395640745367,"50","Var(a) = 0.50"
