"method","mis_type","rho","n","convergence_rate","MSPE_mean","MSPE_MCSE","beta_MSE_mean","beta_MSE_MCSE","beta_SSE_mean","beta_SSE_MCSE","intercept_MSE_mean","intercept_MSE_MCSE","Var_a_hat_mean","Var_a_hat_MCSE","Var_b_hat_mean","Var_b_hat_MCSE","Var_e_hat_mean","Var_e_hat_MCSE","Var_a_MSE_mean","Var_a_MSE_MCSE","Var_b_MSE_mean","Var_b_MSE_MCSE","Var_e_MSE_mean","Var_e_MSE_MCSE","G_MSE_mean","G_MSE_MCSE","selected_K_mean","selected_K_MCSE","runtime_mean","runtime_MCSE","iterations_mean","iterations_MCSE","group_ARI_mean","group_ARI_MCSE","case","R_setting","Var_a_setting","file","model"
"OBS","contam",0.25,50,1,9.22521672489091,0.0372019550855437,0.00363902787530373,0.000112268697602823,0.181951393765186,0.00561343488014113,0.0546819821536386,0.0138304006314652,0.232104173147588,0.014402257567511,NA,NA,9.14315176657925,0.0199614066214226,0.0819320001739433,0.0070142742703023,NA,NA,0.0400168582357419,0.00712535611839001,NA,NA,10,0,0.0610800000000462,0.00231161044668264,6.7,0.196396101212393,0.574747545000269,0.00158701924397907,1,10,0.5,"RI_case1_R10_vara0.5_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,9.88687578380326,0.0706693239272016,0.00385894452000408,0.000122699471465876,0.192947226000204,0.0061349735732938,0.223357601632241,0.058123032681798,1.05678857674243,0.0627692958947905,NA,NA,9.80964383937491,0.0593497010705531,1.61681274144162,0.138477579692798,NA,NA,0.828120110478784,0.111764406841552,NA,NA,10,0,0.0396399999996356,0.00123081522677617,4.62,0.0851888658050033,0.574747545000269,0.00158701924397907,1,10,2.25,"RI_case1_R10_vara2.25_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,9.25115730562215,0.0332874191138664,0.00376641586409279,0.000112623832486243,0.188320793204639,0.00563119162431216,0.0287300145996581,0.00611852963565331,0.266041717510736,0.0144292495107776,NA,NA,9.15847547604344,0.0186273131986291,0.0649384367760955,0.00562834038632314,NA,NA,0.0421163395601863,0.00667124390528606,NA,NA,20,0,0.0578199999997742,0.00117653590458123,8.06,0.186065601773314,0.569457397804223,0.000945251283675142,1,20,0.5,"RI_case1_R20_vara0.5_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,9.97436349495871,0.0546637114870415,0.00407258794162853,0.000125959537834124,0.203629397081427,0.00629797689170622,0.117486973624741,0.0250643043265439,1.19333225493697,0.0573959409322845,NA,NA,9.87977090971722,0.0470876344138797,1.2779671311962,0.100346525667797,NA,NA,0.882641874004736,0.0919764621185837,NA,NA,20,0,0.0577399999991758,0.00415974979629125,5.04,0.0697517463756212,0.569457397804223,0.000945251283675142,1,20,2.25,"RI_case1_R20_vara2.25_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,9.28248717865661,0.0325991367387524,0.00362034196489148,0.000101585961045853,0.181017098244574,0.00507929805229267,0.0129618556494836,0.00292131547435715,0.270528252844387,0.0102257472364369,NA,NA,9.15791691319119,0.0191524956557845,0.057781012163281,0.00445452996383652,NA,NA,0.0429118378742301,0.00727874990958579,NA,NA,50,0,0.11706000000122,0.00286233955950347,12.42,0.298417595366778,0.565009465732287,0.000990438950699169,1,50,0.5,"RI_case1_R50_vara0.5_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,10.0330576498669,0.0438949782771448,0.00390110418006557,0.000102194788231663,0.195055209003278,0.00510973941158315,0.0489650984468204,0.0112511177440606,1.21297759201756,0.03634781776402,NA,NA,9.88758381979921,0.037775808159354,1.14015250361181,0.0727808163249683,NA,NA,0.857728609591873,0.0737050371464934,NA,NA,50,0,0.0606199999983073,0.00261610241338555,6.4,0.0903507902905251,0.565009465732287,0.000990438950699169,1,50,2.25,"RI_case1_R50_vara2.25_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,9.22943331011517,0.0377359486431459,0.00205256570314856,6.41624998443371e-05,0.102628285157428,0.00320812499221686,0.0546300733434507,0.0137061634287227,0.232096650503792,0.0143076978684886,NA,NA,9.14196291580042,0.0199771212754005,0.0818030053677891,0.00699249600146879,NA,NA,0.039708652810708,0.0071284306640352,NA,NA,10,0,0.0641200000001197,0.00174277283167721,6.7,0.196396101212393,0.574747545000269,0.00158701924397907,2,10,0.5,"RI_case2_R10_vara0.5_contam_rho25.rds","RI"
"CPF","contam",0.25,50,1,9.89077297737984,0.0707917921270002,0.00220192582104162,6.4440971732508e-05,0.110096291052081,0.0032220485866254,0.223631324566458,0.0580168396574242,1.07459748193524,0.06378883049968,NA,NA,9.80682051207845,0.0593212308833246,1.58095280940231,0.138266960831959,NA,NA,0.82339075195265,0.110683878335981,NA,NA,9.42,0.0993447922897926,0.308319999999876,0.0124948132913026,4.54,0.0956609659587612,0.563122089297481,0.00320232301900539,2,10,2.25,"RI_case2_R10_vara2.25_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,9.25622024173018,0.0331304337267284,0.00199493913814636,6.52284872740005e-05,0.0997469569073182,0.00326142436370003,0.0287238286067594,0.00609075818436546,0.26714830269841,0.0144980855881196,NA,NA,9.1609159048393,0.0181071460559492,0.0645194427365331,0.00566243534531614,NA,NA,0.0419594966065345,0.00660794760984336,NA,NA,20,0,0.0649200000005658,0.00157112724388108,7.98,0.1795459124956,0.569457397804223,0.000945251283675142,2,20,0.5,"RI_case2_R20_vara0.5_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,9.9768443912245,0.0546769969299674,0.00214300489028409,7.12158544164713e-05,0.107150244514204,0.00356079272082356,0.117421686766825,0.0249976485323687,1.19569179388951,0.0575679793598758,NA,NA,9.88269568546183,0.0467677413088332,1.27395533360329,0.100918584474098,NA,NA,0.886325532862293,0.0920419881797205,NA,NA,20,0,0.0467399999985355,0.000657645770392069,5.12,0.0678533833545024,0.569457397804223,0.000945251283675142,2,20,2.25,"RI_case2_R20_vara2.25_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,9.27434273160494,0.0328645786895207,0.00199323380486708,6.26220528506092e-05,0.0996616902433541,0.00313110264253046,0.0132857901066449,0.00298895584042637,0.269839535245433,0.0102463321284846,NA,NA,9.15861112016578,0.0189270207780359,0.0581182183183118,0.00447926580809923,NA,NA,0.0427108611013206,0.00729389460745462,NA,NA,50,0,0.108500000000931,0.00248854518609046,12.42,0.306514307020347,0.565009465732287,0.000990438950699169,2,50,0.5,"RI_case2_R50_vara0.5_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,10.0251023917069,0.0443794636810493,0.00211796151746649,6.38105804023059e-05,0.105898075873325,0.0031905290201153,0.0496290413872757,0.0113839157402579,1.21114680084573,0.036660042485453,NA,NA,9.88856772265488,0.0376185782411748,1.1450699464298,0.0734397567850563,NA,NA,0.858895311759557,0.0731894027367733,NA,NA,50,0,0.0619200000012643,0.000778192568346428,6.4,0.0903507902905251,0.565009465732287,0.000990438950699169,2,50,2.25,"RI_case2_R50_vara2.25_contam_rho25.rds","RI"
"CPF","contam",0.25,50,1,9.2078856012291,0.0373675038462315,0.00402745530889552,0.00014284534532625,0.201372765444776,0.0071422672663125,0.122891440200508,0.0224641816127664,0.2312727897857,0.0148984556224279,NA,NA,9.12479560578572,0.0198334014295811,0.0830905485262998,0.00720202502801418,NA,NA,0.0348487700245043,0.00670228598513256,NA,NA,9.14,0.127807252836257,0.34412000000011,0.0138459053108768,6.74,0.20164628558393,0.543270850554468,0.00603988634338267,3,10,0.5,"RI_case3_R10_vara0.5_contam_rho25.rds","RI"
"OBS","contam",0.25,50,1,9.81586147660382,0.0682491005215701,0.00561863016604719,0.000341889165114484,0.280931508302359,0.0170944582557242,0.478198846447765,0.0955636586545699,1.00488358776238,0.0602115871673983,NA,NA,9.73740877194616,0.0565878283357736,1.72796120625513,0.140196193107775,NA,NA,0.70067863041534,0.0995695671915173,NA,NA,10,0,0.0416799999997602,0.000693079493037437,4.78,0.0960017006652082,0.574747545000269,0.00158701924397907,3,10,2.25,"RI_case3_R10_vara2.25_contam_rho25.rds","RI"
