"model","case","R_setting","Var_a_setting","MSPE_mean","rank","selected_K_mean","group_ARI_mean","n"
"RI",1,10,0.5,10.582214533923,7,3.62,3.54577141555138e-05,50
"RI",1,10,2.25,12.2765389936062,7,3.64,9.03621969813429e-05,50
"RI",1,20,0.5,10.6300880896416,7,3.68,-2.10750939444491e-05,50
"RI",1,20,2.25,12.4819046268938,7,3.7,8.13818034128722e-06,50
"RI",1,50,0.5,10.5872525178116,7,3.54,-3.46292719105661e-05,50
"RI",1,50,2.25,12.4252443084051,7,3.36,-2.65575754373852e-06,50
"RI",2,10,0.5,9.47473257736431,7,5.36,0.000125719503355587,50
"RI",2,10,2.25,10.999423253013,7,5.18,-5.4245486370439e-05,50
"RI",2,20,0.5,9.51460035799916,7,4.54,-2.07591755080937e-05,50
"RI",2,20,2.25,11.1610917770491,7,4.82,-9.15321740977142e-05,50
"RI",2,50,0.5,9.51052202900703,7,5.08,-4.8023326961557e-05,50
"RI",2,50,2.25,11.1893578584907,7,3.86,-6.73793918533146e-05,50
"RI",3,10,0.5,10.6909519105892,7,5.74,0.128317434345574,50
"RI",3,10,2.25,11.9300201926267,7,5.32,0.138370635613092,50
"RI",3,20,0.5,10.6121415514746,7,6.48,0.154061170825128,50
"RI",3,20,2.25,12.1529418401148,7,6.86,0.153267706198208,50
"RI",3,50,0.5,9.90485212214805,7,5.52,0.110936369736076,50
"RI",3,50,2.25,11.3902127773258,7,5.2,0.113533702606628,50
"RI",4,10,0.5,9.39808726866787,5,4.62,0.210791002056585,50
"RI",4,10,2.25,10.6122217224877,5,4.98,0.206104628635024,50
"RI",4,20,0.5,9.42168085708853,5,5,0.211519433238694,50
"RI",4,20,2.25,10.7502219458394,5,5.02,0.217096750113894,50
"RI",4,50,0.5,9.45880911185757,6,4.88,0.139667043601235,50
"RI",5,10,0.5,9.51707721826789,7,5.1,-3.32250273687297e-05,50
"RI",5,10,2.25,11.0467834914683,7,5.18,-5.48648247374912e-05,50
"RI",5,20,0.5,9.56001259530862,7,4.88,-0.000100747510322847,50
"RI",5,20,2.25,11.2121049300759,7,5.26,-1.15014599424669e-05,50
"RI",6,10,0.5,10.6248275064264,7,3.32,-9.78424664629895e-05,50
"RI",6,10,2.25,12.3525451214024,7,3.52,-7.75966580744897e-05,50
"RI",6,20,0.5,10.6630659602145,7,3.34,-9.30008527801827e-05,50
"RI",6,20,2.25,12.5444060006269,7,3.48,-0.000191846096394402,50
"RI",7,10,0.5,9.61423649294704,7,5.56,-3.04560358094345e-06,50
"RI",7,10,2.25,11.1608293607901,7,5.56,-0.000103694594112692,50
"RI",7,20,0.5,9.62360480696853,7,5.28,1.28935091412453e-05,50
"RI",7,20,2.25,11.2839916021785,7,5.46,0.000128297547514305,50
"RI",7,50,0.5,9.63390435360264,7,4.66,-9.26315994072883e-06,50
"RI",8,10,0.5,9.61306704488701,7,5.08,0.000132344732209745,50
"RI",8,10,2.25,11.1265190468231,7,4.98,9.7134157321412e-05,50
"RI",8,20,0.5,9.60047657141145,7,3.98,-1.28628693560224e-05,50
"RI",8,20,2.25,11.2792559459451,7,4.08,-7.18626908505583e-05,50
"RI",8,50,0.5,9.57898598338438,7,5.06,1.45841838435657e-05,50
"RI",8,50,2.25,11.2802225100963,7,3.78,-5.88169523576188e-05,50
"RI",9,10,0.5,9.88589876536872,7,4.84,-0.000114508160673207,50
