"method","mis_type","rho","n","convergence_rate","MSPE_mean","MSPE_MCSE","beta_MSE_mean","beta_MSE_MCSE","beta_SSE_mean","beta_SSE_MCSE","intercept_MSE_mean","intercept_MSE_MCSE","Var_a_hat_mean","Var_a_hat_MCSE","Var_b_hat_mean","Var_b_hat_MCSE","Var_e_hat_mean","Var_e_hat_MCSE","Var_a_MSE_mean","Var_a_MSE_MCSE","Var_b_MSE_mean","Var_b_MSE_MCSE","Var_e_MSE_mean","Var_e_MSE_MCSE","G_MSE_mean","G_MSE_MCSE","selected_K_mean","selected_K_MCSE","runtime_mean","runtime_MCSE","iterations_mean","iterations_MCSE","group_ARI_mean","group_ARI_MCSE","case","R_setting","Var_a_setting","file"
"BLM","contam",0.25,50,1,9.22732142908481,0.0371791946806173,0.00363895529252462,0.000112382587480125,0.181947764626231,0.00561912937400624,0.0680151280194785,0.0154620048734139,0.291939521994822,0.0218335259040863,NA,NA,9.13940070754238,0.0199676232618888,0.0666476023245591,0.00725996528042504,NA,NA,0.0389691502210248,0.00699665165533158,NA,NA,6,0,0.0813599999997814,0.00598267976270432,5.66,0.150129196061939,0.404854712628518,0.00702113499945771,1,10,0.5,"RI_case1_R10_vara0.5_contam_rho25.rds"
"CIRG","contam",0.25,50,1,10.582214533923,0.0720897408897661,0.00743031333806049,0.000243431725043304,0.371515666903024,0.0121715862521652,0.061015593771628,0.0178302726549531,6.77741841673747,0.0998870241649444,NA,NA,2.70580102008863,0.0738334585610164,39.8948754410246,1.25391558910953,NA,NA,39.8840583992683,0.911638384165438,NA,NA,3.62,0.193549023479314,168.3766,30.5387991611474,3.6,0.0699854212223765,3.54577141555138e-05,0.000103187728963162,1,10,0.5,"RI_case1_R10_vara0.5_contam_rho25.rds"
"CPF","contam",0.25,50,1,9.22527517164524,0.0372078918453405,0.00363897524175826,0.000112262789098509,0.181948762087913,0.00561313945492544,0.0553192147433948,0.0146228141864781,0.239737701337031,0.0146134349293844,NA,NA,9.14245745083171,0.0199695695329692,0.0782005356466648,0.00682482839276234,NA,NA,0.0398345269567408,0.00708349241107987,NA,NA,9.38,0.117421271931626,0.313719999999815,0.0171012122735489,6.5,0.174379365939053,0.553461824817184,0.00560762568695635,1,10,0.5,"RI_case1_R10_vara0.5_contam_rho25.rds"
"KM","contam",0.25,50,1,9.46283674933653,0.0483838713015387,0.00376345863838153,0.000116668520230546,0.188172931919076,0.00583342601152731,0.0552286063605299,0.0111446525904752,0.00015055407464465,8.62695904635519e-07,NA,NA,9.37500969300112,0.0314717714063799,0.249849468628353,8.62438142055219e-07,NA,NA,0.189165417222108,0.0277251957319644,NA,NA,2,0,223.46804,5.65968489394446,20.52,0.941228029800235,7.58728112981664e-05,6.20599855098823e-05,1,10,0.5,"RI_case1_R10_vara0.5_contam_rho25.rds"
"LM","contam",0.25,50,1,9.4628369869807,0.0483828565700568,0.00376390178732825,0.00011665113905886,0.188195089366412,0.005832556952943,0.0552279930549428,0.0111446428431341,0,0,NA,NA,9.37489588937019,0.0314706925479972,0.25,0,NA,NA,0.189076747849741,0.027717231575688,NA,NA,1,0,0.0151599999999407,0.00310856092435614,1,0,NA,NA,1,10,0.5,"RI_case1_R10_vara0.5_contam_rho25.rds"
"OBS","contam",0.25,50,1,9.22521672489091,0.0372019550855437,0.00363902787530373,0.000112268697602823,0.181951393765186,0.00561343488014113,0.0546819821536386,0.0138304006314652,0.232104173147588,0.014402257567511,NA,NA,9.14315176657925,0.0199614066214226,0.0819320001739433,0.0070142742703023,NA,NA,0.0400168582357419,0.00712535611839001,NA,NA,10,0,0.0610800000000462,0.00231161044668264,6.7,0.196396101212393,0.574747545000269,0.00158701924397907,1,10,0.5,"RI_case1_R10_vara0.5_contam_rho25.rds"
"ORACLE","contam",0.25,50,1,9.03875028399534,0.0320347348471533,0.0036053705818953,0.000105638792918846,0.180268529094765,0.00528193964594232,0.0553107778295266,0.0140387861047788,0.418423238076274,0.0257445243767212,NA,NA,8.95048289670477,0.01650647624081,0.0391310143197562,0.00587303238067315,NA,NA,0.0158026676552836,0.00248381244719325,NA,NA,10,0,0.050399999999885,0.00150942616479813,5.56,0.143313556616965,1,0,1,10,0.5,"RI_case1_R10_vara0.5_contam_rho25.rds"
"BLM","contam",0.25,50,1,9.89272572421461,0.0711506998563096,0.00386219053673303,0.000122568375602611,0.193109526836652,0.00612841878013055,0.300824558434169,0.0683623262522969,1.27054060147622,0.0943772282099387,NA,NA,9.80935128796018,0.0595950032350204,1.39578671238152,0.141486295215939,NA,NA,0.829076163441326,0.112021911746797,NA,NA,6,0,0.0543199999996432,0.000666051416767814,4.52,0.0868496237346895,0.398232206163362,0.00751204730728756,1,10,2.25,"RI_case1_R10_vara2.25_contam_rho25.rds"
"CIRG","contam",0.25,50,1,12.2765389936062,0.170371614049307,0.0088125918154006,0.000292248068878533,0.44062959077003,0.0146124034439267,0.228652343687161,0.0419405044776488,7.67618906069642,0.144988925054758,NA,NA,3.24480417604362,0.0910073358919995,30.4735953534597,1.70201002947329,NA,NA,33.5281133962068,1.04098916223253,NA,NA,3.64,0.256761622156125,208.331740000001,49.9165816270551,3.66,0.0676726816132972,9.03621969813429e-05,9.14267244675921e-05,1,10,2.25,"RI_case1_R10_vara2.25_contam_rho25.rds"
"CPF","contam",0.25,50,1,9.88688641395194,0.0706523900845106,0.00385921931842413,0.000122773337974594,0.192960965921207,0.0061386668987297,0.233437625789052,0.0618334102925571,1.06881029697887,0.063455690408639,NA,NA,9.80883098164772,0.0593764414256449,1.59251372213977,0.138986834163508,NA,NA,0.826960084895491,0.111729422057787,NA,NA,9.32,0.0966373401445015,0.281840000000229,0.0102202424189088,4.4,0.0989743318610787,0.558312195235243,0.00419486183279292,1,10,2.25,"RI_case1_R10_vara2.25_contam_rho25.rds"
