"method","MSPE","beta_MSE","beta_SSE","intercept_MSE","Var_a_hat","Var_b_hat","Var_e_hat","Var_a_MSE","Var_b_MSE","Var_e_MSE","G_MSE","selected_K","objective","runtime","converged","iterations","group_ARI","mis_type","rho","merge_factor","dist_x","var_b","lambda","R_true","N_test","replication","model","case"
"CIRG",10.2615975461407,0.0106630113240395,0.213260226480791,0.0475908746716256,0.000263590389659248,NA,10.8755582671183,5.06131391272643,NA,3.51771881335582,NA,2,-10.9515860772881,1.07,TRUE,28,7.53741484076579e-05,"contam",0.25,2,"case1",0,0,20,1000,1,"RI",1
"CIRG",9.65041183635076,0.00751565574310393,0.150313114862079,0.00795211004473014,0.000859707621856869,NA,10.0141165873109,5.05863205479884,NA,1.02843245265911,NA,4,-10.0848720820987,2,TRUE,135,-0.00138280793195331,"contam",0.25,2,"case1",0,0,20,1000,2,"RI",1
"CIRG",9.33637050879226,0.0130312449903302,0.260624899806604,0.0583231001337039,0.00026199227938922,NA,9.79092842563192,5.0613211033827,NA,0.62556777447259,NA,2,-9.86064797956171,1.11,TRUE,30,0.000466649959866331,"contam",0.25,2,"case1",0,0,20,1000,3,"RI",1
"CIRG",10.6896130090196,0.00760453981561223,0.152090796312245,0.134446519818342,0.000847815766089519,NA,10.3895616883545,5.05868554784417,NA,1.93088168574256,NA,7,-10.463319952518,1.89,TRUE,88,0.00114289683268575,"contam",0.25,2,"case1",0,0,20,1000,4,"RI",1
"CIRG",12.8781304762816,0.0115058988331189,0.230117976662377,0.597067285227948,0.000267000750035795,NA,11.5466166707939,5.06129856791424,NA,6.48525646796556,NA,2,-11.6274359210209,1.05,TRUE,29,-0.00129414449853587,"contam",0.25,2,"case1",0,0,20,1000,5,"RI",1
"CIRG",10.332361659632,0.00707395899215902,0.14147917984318,0.0506723934796706,0.000258900427001699,NA,10.8725043261257,5.06133501510792,NA,3.50627245135956,NA,2,-10.9482549172669,1.24,TRUE,28,-0.00116487928135523,"contam",0.25,2,"case2",0,0,20,1000,1,"RI",2
"CIRG",9.72184522796503,0.00414916987799551,0.0829833975599103,0.00805478092467642,0.00400513003939048,NA,10.012645236688,5.04449295588937,NA,1.0254503753869,NA,8,-10.0855379688831,2.29,TRUE,149,0.00215702972027048,"contam",0.25,2,"case2",0,0,20,1000,2,"RI",2
"CIRG",9.32528971749223,0.00552911374710221,0.110582274942044,0.0603141544061028,0.000243635874093594,NA,9.82145453374404,5.06140369792502,NA,0.674787551008633,NA,2,-9.89135675502005,0.990000000000002,TRUE,27,-0.000800146936320156,"contam",0.25,2,"case2",0,0,20,1000,3,"RI",2
"CIRG",10.8404223437532,0.006872049083461,0.13744098166922,0.129632890047634,0.000270040733398761,NA,10.3657329396318,5.0612848896217,NA,1.86522646239533,NA,2,-10.4392314278527,1.1,TRUE,29,-0.000203839910309997,"contam",0.25,2,"case2",0,0,20,1000,4,"RI",2
"CIRG",12.8733446340174,0.0103872911166331,0.207745822332662,0.582588225174898,0.0002904855805694,NA,11.4976357524532,5.06119289926931,NA,6.23818435193255,NA,2,-11.5780067877977,1.22,TRUE,32,-0.00034785307298183,"contam",0.25,2,"case2",0,0,20,1000,5,"RI",2
"CIRG",10.2549607104332,0.0165773826809273,0.331547653618546,0.0350390572271538,0.149002135860331,NA,10.7740912436578,4.41419202511945,NA,3.1473997408232,NA,2,-10.8524153161524,0.699999999999999,TRUE,11,0.108095600772412,"contam",0.25,2,"case3",0,0,20,1000,1,"RI",3
"CIRG",9.55939468603993,0.00820785041509857,0.164157008301971,0.0131835071937284,0.0646670463855728,NA,9.94299444813037,4.77568011815316,NA,0.889238529204702,NA,4,-10.0197865653816,1.07,TRUE,9,0.14701307125495,"contam",0.25,2,"case3",0,0,20,1000,2,"RI",3
"CIRG",9.23119970758401,0.0133711134263347,0.267422268526693,0.0416900975459835,0.000289442758607584,NA,9.7178976692857,5.06119759136338,NA,0.515377063565842,NA,2,-9.78720849972168,0.969999999999999,TRUE,32,0.0996135110995985,"contam",0.25,2,"case3",0,0,20,1000,3,"RI",3
"CIRG",10.6326363575515,0.0130773886611742,0.261547773223484,0.048768349017685,0.112279948329397,NA,10.3201263998161,4.56984701931457,NA,1.74273371149131,NA,2,-10.3957868554547,0.809999999999999,TRUE,13,0.108157726561754,"contam",0.25,2,"case3",0,0,20,1000,4,"RI",3
"CIRG",12.8705677069128,0.0120481369999585,0.240962739999169,0.613678137967329,0.000350380771842748,NA,11.5233796076308,5.06092340929339,NA,6.36744464420716,NA,2,-11.6042244861683,1.22,TRUE,40,0.0952602910501632,"contam",0.25,2,"case3",0,0,20,1000,5,"RI",3
"CIRG",10.3154035820871,0.00726537289481472,0.145307457896294,0.0388885907089734,0.213039399744222,NA,10.7519255270401,4.14920848699438,NA,3.06924305229457,NA,2,-10.8298260756952,0.850000000000001,TRUE,10,0.116191930849372,"contam",0.25,2,"case4",0,0,20,1000,1,"RI",4
"CIRG",9.6982179218526,0.00460586859551482,0.0921173719102963,0.0129995619562163,0.101890576485419,NA,9.98009783739264,4.61437409539215,NA,0.960591770861729,NA,2,-10.0532657788952,0.82,TRUE,16,0.124208496325124,"contam",0.25,2,"case4",0,0,20,1000,2,"RI",4
"CIRG",9.22898294537741,0.00600186946483984,0.120037389296797,0.0315079428833567,0.0321112234303584,NA,9.73100449303209,4.91903062523358,NA,0.534367568833103,NA,2,-9.80188914979984,1.07,TRUE,33,0.107868703276972,"contam",0.25,2,"case4",0,0,20,1000,3,"RI",4
"CIRG",10.6714347772379,0.00706234526617641,0.141246905323528,0.0284990606206041,0.451295738172901,NA,10.2178722576989,3.23533702151497,NA,1.48321283607264,NA,2,-10.2936934865817,0.66,TRUE,8,0.117412929545486,"contam",0.25,2,"case4",0,0,20,1000,4,"RI",4
"CIRG",12.8109044295916,0.0100428333905704,0.200856667811409,0.589072884348416,0.191176472211536,NA,11.4210851767231,4.23875431857534,NA,5.86165343294817,NA,2,-11.5043037873883,0.909999999999997,TRUE,11,0.100417375197922,"contam",0.25,2,"case4",0,0,20,1000,5,"RI",4
"CIRG",10.3155631265401,0.00271240472311315,0.054248094462263,0.0492150970253849,0.000929594425874047,NA,10.8827311337023,5.05831768922936,NA,3.54467652181191,NA,5,-10.9602334220389,1.14,TRUE,93,-0.000234692875107005,"contam",0.25,2,"case5",0,0,20,1000,1,"RI",5
"CIRG",9.70884459665701,0.00281455931046404,0.0562911862092807,0.0070039727548569,0.00045037857722348,NA,9.99762559628133,5.06047349924336,NA,0.995256830355674,NA,4,-10.0671209041368,1.42,TRUE,49,-4.44116072710438e-05,"contam",0.25,2,"case5",0,0,20,1000,2,"RI",5
"CIRG",9.30813295609326,0.00366460879718281,0.0732921759436562,0.0581259842876961,0.000262623206462016,NA,9.78983144956066,5.06131826454187,NA,0.623833718715091,NA,2,-9.86031341030245,0.940000000000005,TRUE,28,0.00183786937864235,"contam",0.25,2,"case5",0,0,20,1000,3,"RI",5
"CIRG",10.76632143155,0.00274178704927434,0.0548357409854868,0.129183549205258,0.000293740688676161,NA,10.3709507871696,5.06117825318455,NA,1.8795060608409,NA,2,-10.4443037442894,1.45,TRUE,32,0.000672951511576092,"contam",0.25,2,"case5",0,0,20,1000,4,"RI",5
"CIRG",12.8926808878803,0.00353780952753823,0.0707561905507647,0.596173251822206,0.00237063379535344,NA,11.5304260709187,5.0518377678255,NA,6.40305610038503,NA,3,-11.6109293557336,1.78,TRUE,180,-0.000729802202475806,"contam",0.25,2,"case5",0,0,20,1000,5,"RI",5
"CIRG",10.3279401809407,0.013755160715569,0.275103214311379,0.422402233948525,0.000236497286460176,NA,10.8775481348005,5.0614358181419,NA,3.52518699849301,NA,2,-10.9525603092769,1.89,TRUE,136,-0.00123285965260552,"contam",0.25,2,"case6",0,0,20,1000,1,"RI",6
"CIRG",9.71952127155572,0.00763644803959237,0.152728960791847,0.100577890040141,0.000863551591911636,NA,10.0216510912891,5.05861476355775,NA,1.04377095233211,NA,6,-10.0919662531154,2.09,TRUE,143,-0.000917918738854662,"contam",0.25,2,"case6",0,0,20,1000,2,"RI",6
"CIRG",9.31386876616221,0.0123344391060954,0.246688782121907,4.45199222161027e-05,0.000173179655096723,NA,9.81482491297346,5.06172072154326,NA,0.663939638802213,NA,2,-9.88415298744824,3.29,TRUE,180,0.00215982577297799,"contam",0.25,2,"case6",0,0,20,1000,3,"RI",6
"CIRG",10.8347069396114,0.0108937763839337,0.217875527678675,0.176669891074331,0.00046764997090886,NA,10.3797971467451,5.06039579382741,NA,1.90384016616596,NA,5,-10.4556198064277,1.42,TRUE,84,9.4909798009287e-05,"contam",0.25,2,"case6",0,0,20,1000,4,"RI",6
"CIRG",12.8458139138923,0.0219990809850705,0.439981619701409,0.264254285794106,0.000266429692748348,NA,11.4998927225651,5.06130113736741,NA,6.24946362433382,NA,2,-11.5810114378071,1,TRUE,29,0.000313733251816267,"contam",0.25,2,"case6",0,0,20,1000,5,"RI",6
"CIRG",10.3975799008825,0.00415099786211832,0.0830199572423663,0.0540749935529515,0.000258801980411626,NA,10.8692896087441,5.06133545806661,NA,3.49424364135874,NA,2,-10.9466113435538,1.33,TRUE,28,-0.000901905850812131,"contam",0.25,2,"case7",0,0,20,1000,1,"RI",7
"CIRG",9.65499519162963,0.00276726390680588,0.0553452781361176,0.00740253999752323,0.0413222936935424,NA,9.96564905817885,4.87825721033515,NA,0.932478103561705,NA,10,-10.0479145752299,2.86000000000001,TRUE,24,0.000265465492368774,"contam",0.25,2,"case7",0,0,20,1000,2,"RI",7
"CIRG",9.38295065293693,0.0023980739563454,0.0479614791269081,0.0591719225230246,0.000242852715865352,NA,9.82674789249956,5.06140722175605,NA,0.683512077752466,NA,2,-9.89529070398249,0.890000000000001,TRUE,27,-0.000475857408967166,"contam",0.25,2,"case7",0,0,20,1000,3,"RI",7
