"method","mis_type","rho","n","convergence_rate","MSPE_mean","MSPE_MCSE","beta_MSE_mean","beta_MSE_MCSE","beta_SSE_mean","beta_SSE_MCSE","intercept_MSE_mean","intercept_MSE_MCSE","Var_a_hat_mean","Var_a_hat_MCSE","Var_b_hat_mean","Var_b_hat_MCSE","Var_e_hat_mean","Var_e_hat_MCSE","Var_a_MSE_mean","Var_a_MSE_MCSE","Var_b_MSE_mean","Var_b_MSE_MCSE","Var_e_MSE_mean","Var_e_MSE_MCSE","G_MSE_mean","G_MSE_MCSE","selected_K_mean","selected_K_MCSE","runtime_mean","runtime_MCSE","iterations_mean","iterations_MCSE","group_ARI_mean","group_ARI_MCSE","model","case","lambda"
"CIRG","contam",0.25,5,1,10.563224675317,0.624665519625973,0.010064070141241,0.00109053730953053,0.201281402824819,0.0218107461906106,0.16907597797927,0.108940692477119,0.00050002136140613,0.000144428391858475,NA,NA,10.5233563278419,0.315022593341789,5.06025023733328,0.000649766279398503,NA,NA,2.71757143883913,1.06499382424578,NA,NA,3.4,0.979795897113271,1.424,0.213625841133511,62,21.5336945274145,-0.000198406297905888,0.000495973743356168,"RI",1,0
"CIRG","contam",0.25,5,1,10.618652716572,0.620154476659951,0.00680231656347016,0.00103901221182637,0.136046331269403,0.0207802442365273,0.166252488806596,0.105897271990602,0.00101363853089079,0.000747911860327007,NA,NA,10.5139945577286,0.304057855343726,5.05794189156267,0.00336240946762527,NA,NA,2.66198423841659,1.01892214009129,NA,NA,3.2,1.2,1.368,0.234848887585187,53,24.0145789053233,-7.19378961393461e-05,0.000582521812418928,"RI",2,0
"CIRG","contam",0.25,5,1,10.5097518337043,0.639974411879715,0.0126563744366986,0.00134576612384974,0.253127488733973,0.0269153224769947,0.150471829790376,0.11595472299767,0.0653177908211503,0.0297139594559902,NA,NA,10.4556978737041,0.321474119623828,4.77636803264879,0.129599865451269,NA,NA,2.53243873785844,1.06013504067138,NA,NA,2.4,0.4,0.954,0.0921194876234128,21,6.28490254498827,0.111628040147776,0.00918932464752863,"RI",3,0
"CIRG","contam",0.25,5,1,10.5449887312293,0.618545225806116,0.00699565792238324,0.000896135598758872,0.139913158447665,0.0179227119751774,0.140193608103513,0.112299127852476,0.197902682008887,0.0711292960666777,NA,NA,10.4203970583774,0.301780519896086,4.23134090954208,0.284469330944698,NA,NA,2.38181373220204,0.970109688990862,NA,NA,2,0,0.862,0.0664379409674922,15.6,4.5453272709454,0.113219887038975,0.00412130841487877,"RI",4,0
"CIRG","contam",0.25,5,1,10.5983085997441,0.625620368717867,0.00309423388151451,0.000208604534900715,0.0618846776302903,0.0041720906980143,0.16794037101908,0.108844133039494,0.000861394138717828,0.000395736432539321,NA,NA,10.5143130075265,0.31469110317013,5.05862509480493,0.00177975680396158,NA,NA,2.68926584642172,1.0562990297502,NA,NA,3.2,0.58309518948453,1.346,0.143513065607281,76.4,28.3488976858008,0.000300382841072918,0.000445485281746407,"RI",5,0
"CIRG","contam",0.25,5,1,10.6083702144325,0.616514803874495,0.0133237810460522,0.00239453956231302,0.266475620921044,0.0478907912462605,0.192789764155864,0.0720217582915245,0.000401461639425149,0.000125592107266931,NA,NA,10.5187428016746,0.304409501488889,5.06069364688754,0.000565031748960037,NA,NA,2.67724027602542,1.0197926875489,NA,NA,3.4,0.871779788708135,1.938,0.387393856430377,114.4,26.2727996224232,8.35380862686709e-05,0.000595814923761957,"RI",6,0
"CIRG","contam",0.25,5,1,10.6181902619118,0.61682453707272,0.00327875984425867,0.000311106240019315,0.0655751968851733,0.00622212480038629,0.167416252447896,0.1053522908793,0.009339210452796,0.00802925187814258,NA,NA,10.5156961319365,0.315320870623601,5.02081864935719,0.0357921545468307,NA,NA,2.69504377017046,1.06931741492475,NA,NA,4.6,1.46969384566991,1.738,0.337155750358793,51.6,16.669133150827,-0.000376888353098548,0.000259041250378346,"RI",7,0
"CIRG","contam",0.25,5,1,10.630853729456,0.610651639954356,0.00680551523802847,0.00103697315849645,0.136110304760569,0.020739463169929,0.166322442053968,0.105871166456272,0.000266858977110696,7.71400250399734e-06,NA,NA,10.5147764028679,0.303736402021841,5.06129920605474,3.47088923774607e-05,NA,NA,2.66357075833799,1.01828613259035,NA,NA,2,0,1.35,0.234200768572607,29,0.836660026534075,-2.692012355813e-05,5.94495008490971e-05,"RI",8,0
"CIRG","contam",0.25,5,1,10.6690622859051,0.644088642206184,0.00382220919974959,0.000637135227349246,0.0764441839949917,0.0127427045469849,0.16637028498163,0.105894097876891,0.000297636775037651,1.53329035650197e-05,NA,NA,10.5147071076945,0.303725603389586,5.06116072404037,6.8988659488776e-05,NA,NA,2.6633345907178,1.01817818417251,NA,NA,2,0,1.336,0.134484199815444,32.6,2.01494416796099,-0.000177768505827266,0.000319948224177987,"RI",9,0
"CIRG","contam",0.25,5,1,11.1753093881086,0.642061013348168,0.0212496655327416,0.0027277818429882,0.424993310654831,0.054555636859764,0.18431420353898,0.129800413109107,7.22465828909236,0.383960050995197,NA,NA,3.28697061879998,0.365394602575985,25.3369263762762,3.95962221558478,NA,NA,33.1727575728214,4.23123833040634,NA,NA,3.2,0.734846922834953,0.718000000000001,0.0703846574190703,4,0,-0.00062168829977463,0.000276646464323541,"RI",1,1
"CIRG","contam",0.25,5,1,10.6371932869811,0.618227163421914,0.00689509262562679,0.00104182005540455,0.137901852512536,0.020836401108091,0.166660940507273,0.106044585839176,0.0408979656635699,0.0339114715313244,NA,NA,10.4849754250801,0.29766130391377,4.88473174971503,0.146591002278469,NA,NA,2.5595610204823,1.00512110281597,NA,NA,4,1.54919333848297,1.134,0.0561782876207554,29.8,6.55286197016235,-0.000980329278141513,9.55496703378866e-05,"RI",2,1
"CIRG","contam",0.25,5,1,10.8615649069629,0.588534664063729,0.0193683442137287,0.0039948396525434,0.387366884274575,0.0798967930508681,0.177578547794802,0.117188120948829,2.6495612032579,1.62700758081216,NA,NA,8.05441500557462,1.59510480797462,10.7482638272298,6.13025287334902,NA,NA,11.0715683753774,5.73175835668627,NA,NA,3.4,1.16619037896906,0.998000000000002,0.130858702423645,21.2,10.8369737473153,0.114854512987938,0.0111613845685989,"RI",3,1
"CIRG","contam",0.25,5,1,10.5486699204714,0.61864845373208,0.00700552858119788,0.00089806516231212,0.140110571623958,0.0179613032462424,0.138390739249424,0.112732194701911,0.210245995270791,0.0702691188489289,NA,NA,10.4170911929339,0.301749405310402,4.18034739606407,0.280369612427792,NA,NA,2.37235826351162,0.969536340906764,NA,NA,2,0,0.798000000000002,0.0519037570894412,13.4,2.5219040425837,0.112768965763179,0.00405475467127444,"RI",4,1
"CIRG","contam",0.25,5,1,10.7005499879777,0.63345870654768,0.00574150880363132,0.00124159611480872,0.114830176072626,0.0248319222961744,0.163161074444536,0.106244336286419,0.295497142638322,0.119844314319017,NA,NA,10.3059135378191,0.359219174308182,3.87753205813334,0.468268225866032,NA,NA,2.22156382902177,1.02606263950721,NA,NA,6,2.07364413533277,1.276,0.34686596835089,14,4.85798312059645,5.6196553556608e-07,0.000417982763211956,"RI",5,1
"CIRG","contam",0.25,5,1,11.3519909819697,0.636999357241563,0.0213857671374386,0.00483652330887204,0.427715342748772,0.0967304661774408,0.255204566017016,0.134783398107948,9.47099847228107,0.748626780234309,NA,NA,2.17269343244229,0.0589199529902804,54.3845871610215,10.2763638596839,NA,NA,46.6260012108582,0.812510106543491,NA,NA,3.6,0.4,0.880000000000001,0.0934344690143847,4,0,-0.000482176641301052,0.000736541471111655,"RI",6,1
"CIRG","contam",0.25,5,1,10.830797901031,0.627960309791518,0.0119582881532668,0.00268263957276553,0.239165763065337,0.0536527914553107,0.179658389889279,0.131320629993052,0.721887880726178,0.194377465654031,NA,NA,10.0900246133636,0.29894746952451,2.48625704568787,0.66944637054946,NA,NA,1.54563201587892,0.822169773474184,NA,NA,4.6,0.92736184954957,0.942000000000004,0.049939963956734,13.2,4.2,-0.000472208819728015,0.000157679424068948,"RI",7,1
"CIRG","contam",0.25,5,1,10.6713760321639,0.607879324561905,0.00689509262562679,0.00104182005540455,0.137901852512536,0.020836401108091,0.166660940507273,0.106044585839176,0.0408979656635699,0.0339114715313244,NA,NA,10.4849754250801,0.29766130391377,4.88473174971503,0.146591002278469,NA,NA,2.5595610204823,1.00512110281597,NA,NA,4,1.54919333848297,1.114,0.0544609952167627,29.8,6.55286197016235,0.000793637299127502,0.000363424088796925,"RI",8,1
"CIRG","contam",0.25,5,1,11.777993295433,0.83430225850239,0.0582535974562356,0.0220851854155215,1.16507194912471,0.441703708310429,0.171507057682986,0.106213326718905,3.09666559130765,0.781307919354192,NA,NA,8.50611681316721,0.377927628722908,3.15861088288664,1.81222649810845,NA,NA,0.815237772444594,0.446466156703408,NA,NA,5,1.37840487520902,0.782000000000002,0.0531413210223452,5.4,0.4,0.00115348360681093,0.000894850825089022,"RI",9,1
"CIRG","contam",0.25,5,1,11.548987532085,0.624745470033277,0.0150359161470116,0.00198601056904935,0.300718322940233,0.0397202113809871,0.174207181048703,0.11389888180183,0.000187190361093936,4.51924516680006e-05,0.000991767982638126,0.000217737176784655,11.07178218224,0.27160258893037,5.06165768658474,0.000203343485599951,0.00980281964511638,4.30775276141318e-05,4.58735327590206,1.29857896224448,0.0119222541484967,2.29455826634828e-06,2.8,0.489897948556636,3.998,0.768006510389067,92,17.0528589978338,-0.000539346506876087,0.000365483372225366,"RS",1,0
"CIRG","contam",0.25,5,1,12.6636815929178,0.721163219683767,0.0130842455936981,0.0022679857509128,0.261684911873963,0.045359715018256,0.157746851843701,0.101920375578194,0.000923898132912985,0.000669254483647451,0.000313470055273278,5.47146484194448e-05,12.283756723109,0.345514366018039,5.05834510359591,0.00300908025255012,0.00993741622719191,1.09054518730542e-05,11.2605789250626,2.5668751985037,0.0119208467758271,6.60464640388194e-06,2.6,0.4,3.61399999999999,0.983745902151566,113,37.1550804063186,-0.00069750493360944,0.000211310916078383,"RS",2,0
"CIRG","contam",0.25,5,1,11.6531288692826,0.565628948074894,0.0150371692900937,0.00119815408962943,0.300743385801875,0.0239630817925885,0.179891139175098,0.155117120543289,0.0194808174195091,0.0119558458384593,0.00521084108237334,0.00168086252227734,11.0860440906732,0.201655799174882,4.97578759285839,0.0531703239125275,0.00899628584358627,0.000320847494320517,4.51424019359611,0.954720740065526,0.0116909598860093,0.00011718843440686,2.4,0.4,5.154,1.14369838681359,121,31.0596200878246,0.111628040147776,0.00918932464752863,"RS",3,0
"CIRG","contam",0.25,5,1,14.6477308374848,0.412239546648138,0.0151866913339315,0.00278794817639596,0.303733826678629,0.0557589635279191,0.264256529892761,0.172010954188635,0.389570455590789,0.224617930215284,0.00380697316842783,0.000609100587791354,14.0694225851654,0.503673089198999,3.66301094800746,0.686515880367358,0.00925458242512376,0.000117299101035429,26.7137916701184,5.00385405737544,0.00872585622791368,0.00155416376884341,2,0,2.074,0.224,39.8,6.28012738724303,0.113219887038975,0.00412130841487877,"RS",4,0
"CIRG","contam",0.25,5,1,13.1802136576456,0.654885074636508,0.00901667169494484,0.00096107019504895,0.180333433898897,0.019221403900979,0.161600208509486,0.0934629912521221,0.00347007962337313,0.00312229687023446,0.000385021455964281,8.93951314564247e-05,12.6888083527447,0.243424244886727,5.0469356780984,0.013999490380016,0.00992317591628681,1.78048572532275e-05,13.8443285152741,1.89531556715257,0.0118943292435921,3.11792689247858e-05,2.4,0.4,3.58999999999999,0.523211238411407,63.4,10.1222527136997,0.000727314000954907,0.000348187482485745,"RS",5,0
"CIRG","contam",0.25,5,0.4,13.6567581634134,0.619893873890142,0.0203232647588902,0.0025831761213221,0.406465295177804,0.051663522426442,1.03867905748203,0.448866760458049,0.00015639955800136,9.65824298205459e-05,8.26824201897064e-05,4.15360336207735e-05,13.0232314411146,0.378428760816838,5.06179626376248,0.000434562829752772,0.00998347725331302,8.2951804598942e-06,16.7592245368269,2.95767605331901,0.011930761471267,1.36121725673236e-06,2.6,0.6,13.06,1.01593799023366,278,13.996428115773,-0.000199512676418093,0.000759502940553581,"RS",6,0
"CIRG","contam",0.25,5,0.8,20.0889799307127,1.15408720232001,0.0149364600225563,0.0026951491210611,0.298729200451125,0.053902982421222,0.165837880671942,0.124246624790633,0.00123832726637309,0.000514614398863723,0.000433865846241155,0.000194922188747975,19.3444981772493,1.64515268764963,5.05693012006766,0.00231433078668896,0.00991356704896297,3.87904885496299e-05,117.834752001838,34.2686716463003,0.0119165566010134,6.99262983291267e-06,7,3.53553390593274,9.836,0.780343514101325,220,26.8365422511917,-0.000407672082340807,0.000180513943196661,"RS",7,0
"CIRG","contam",0.25,5,1,17.0115522832984,0.664710502326789,0.0130779815020991,0.00226400119396706,0.261559630041982,0.0452800238793412,0.157371132141713,0.102052994153264,0.000903999872896683,0.000674890743159678,0.000248638948426476,3.51292193431527e-05,12.285212806654,0.345027355628361,5.0584346396978,0.00303444384544828,0.00995033896788959,7.00743816774528e-06,11.2687986895313,2.56423372069771,0.0119216358708743,6.81845428875416e-06,2.2,0.2,3.89599999999998,0.954513488642245,88,26.7955220139485,-6.63722561998908e-05,4.55169542583446e-05,"RS",8,0
