"model","case","MSPE_mean.0","selected_K_mean.0","group_ARI_mean.0","convergence_rate.0","MSPE_mean.1","selected_K_mean.1","group_ARI_mean.1","convergence_rate.1","MSPE_delta_lambda0_minus_1","MSPE_pct_lambda0_vs_1"
"RI",1,10.563224675317,3.4,-0.000198406297905888,1,11.1753093881086,3.2,-0.00062168829977463,1,-0.612084712791576,-5.47711648540919
"RI",2,10.618652716572,3.2,-7.19378961393461e-05,1,10.6371932869811,4,-0.000980329278141513,1,-0.0185405704091544,-0.174299459537375
"RI",3,10.5097518337043,2.4,0.111628040147776,1,10.8615649069629,3.4,0.114854512987938,1,-0.351813073258619,-3.23906431782298
"RI",4,10.5449887312293,2,0.113219887038975,1,10.5486699204714,2,0.112768965763179,1,-0.00368118924206762,-0.0348971886486193
"RI",5,10.5983085997441,3.2,0.000300382841072918,1,10.7005499879777,6,5.6196553556608e-07,1,-0.102241388233612,-0.95547788056205
"RI",6,10.6083702144325,3.4,8.35380862686709e-05,1,11.3519909819697,3.6,-0.000482176641301052,1,-0.743620767537218,-6.55057574233725
"RI",7,10.6181902619118,4.6,-0.000376888353098548,1,10.830797901031,4.6,-0.000472208819728015,1,-0.21260763911927,-1.96299147174587
"RI",8,10.630853729456,2,-2.692012355813e-05,1,10.6713760321639,4,0.000793637299127502,1,-0.0405223027078367,-0.379728936415524
"RI",9,10.6690622859051,2,-0.000177768505827266,1,11.777993295433,5,0.00115348360681093,1,-1.10893100952795,-9.41527968060521
"RS",1,11.548987532085,2.8,-0.000539346506876087,1,12.1088279524541,3.2,0.000331654637462799,1,-0.559840420369069,-4.62340717505699
"RS",2,12.6636815929178,2.6,-0.00069750493360944,1,12.6625772013837,3.2,-0.000590828962496304,1,0.00110439153406361,0.00872169635375286
"RS",3,11.6531288692826,2.4,0.111628040147776,1,12.1659333258878,4.4,0.108109574549576,1,-0.512804456605183,-4.21508521268968
"RS",4,14.6477308374848,2,0.113219887038975,1,14.578440354145,2.6,0.138256978855573,1,0.0692904833398096,0.475294212937594
"RS",5,13.1802136576456,2.4,0.000727314000954907,1,13.2005064544751,3.4,0.000687055372330607,1,-0.0202927968295352,-0.153727411137738
"RS",6,13.6567581634134,2.6,-0.000199512676418093,0.4,14.4418894635865,3.2,-0.00101863387481456,0.4,-0.785131300173131,-5.43648600934625
"RS",7,20.0889799307127,7,-0.000407672082340807,0.8,20.2664626220667,4,-0.000481488922140924,0.6,-0.177482691354037,-0.875745780917825
"RS",8,17.0115522832984,2.2,-6.63722561998908e-05,1,17.0247315275695,3,-0.000377079618835399,1,-0.0131792442711216,-0.0774123471479093
"RS",9,14.419014744632,2,-0.000177768505827266,1,14.9414460287551,4.4,0.000664953653819537,0.6,-0.522431284123138,-3.49652425285819
